fileName,size,sha256,mvid,assemblyName,assemblyVersion,typeCount,publicTypeCount,methodCount,publicMemberCount,status
"AllIn1SpriteShaderAssembly.dll",31232,"E928BED9F983DF27D1844DE4354A3D3691569EA6E27FFE58ABC88ECFF39CA33A","25030b2a-1c2d-4002-81c6-9a3991b365a2","AllIn1SpriteShaderAssembly","0.0.0.0",29,18,128,57,"Present"
"AllScripts.dll",989696,"599B78644203709607055FC5872A93DA71D838646D899D3F5550CDC4F5491899","17c425cd-e9f2-4651-9ed5-65bb38f63035","AllScripts","0.0.0.0",3674,3189,4463,3189,"Present"
"Assembly-CSharp.dll",10240,"7A93D763E7E01289E019066A7BAE9DBB8ABA39D6D2CC6261F1B8B79DCF3BC67C","ca6ff307-adbb-4fb2-8327-42f2aa401c15","Assembly-CSharp","0.0.0.0",12,7,23,14,"Present"
"Autodesk.Fbx.BuildTestAssets.dll",5120,"115F83C149B7465CC449F33A0597EC8F59AD4972F12B0983A7B47DB5C771832E","3b7bb6a3-f999-4670-aa44-d8d55850e8e6","Autodesk.Fbx.BuildTestAssets","0.0.0.0",6,0,4,0,"Present"
"Autodesk.Fbx.dll",4096,"DCE0B778167DC87E38B922AC778B925732EC7899F02C0554AA9025F6DD25C04A","09a8eed3-eb51-4376-8853-d151e2706417","Autodesk.Fbx","0.0.0.0",2,0,2,0,"Present"
"BindingProxy.dll",4096,"F7E16E20D6F47EF5A3B28C073F76A1ADCBCC38D9F9659F93CF7C608030B33596","84beaa32-6361-4856-807b-cb386405de53","BindingProxy","1.0.0.0",4,4,4,4,"Present"
"Cinemachine.dll",315904,"076B6DA13EDA4FF1E11750D39677FC2DE50A79ACC73BF4F87FC0FC0E8DA9A350","3358cf69-f664-460f-a9a7-95491a7a06ed","Cinemachine","0.0.0.0",248,158,1423,1459,"Present"
"Coffee.UIParticle.dll",54784,"3F6403BE614955A921EDE59B89705A82836DDCA4C7E89DBA0ABF91BA301B1A33","08d43f76-dac8-41b6-8f30-a93ae98ed052","Coffee.UIParticle","0.0.0.0",45,12,284,126,"Present"
"Coffee.UIParticle.R.dll",3584,"A1C8AB664489C1EC8388FDED9F26DA48AB362CA50CC3D50A611D112ABE747BD3","28fba8bf-906c-4058-89ef-22bfbfe5b886","Coffee.UIParticle.R","0.0.0.0",1,0,0,0,"Present"
"com.rlabrecque.steamworks.net.dll",413696,"83A203F3D5890E33F90C0F58FCC71187D8456A02FF44F587FD7A41BD2CD33430","01645d5e-a798-49ca-ad05-6ddef26c0152","com.rlabrecque.steamworks.net","0.0.0.0",506,483,3080,4737,"Present"
"CsvHelper.dll",223744,"3C8034529E78317954EE9032F48C53F032C7F26A1371617404F6E27D45A252F0","d82cfa14-6ac9-455f-ba33-d52233350941","CsvHelper","33.0.0.0",289,215,1647,1562,"Present"
"DOTween.dll",175616,"8E90FC43AB564A5A51424AF56531AB074A5A2E9CAB271B2D653D287954237B83","82a2fd07-3ee4-4992-8e16-1903460426d7","DOTween","1.0.0.0",201,89,1188,895,"Present"
"ExcelDataReader.DataSet.dll",9728,"ED43E87D86EE8EA5385F55BCE311CE12427BD25C7DA5DA125404F12F5E51CF97","7c2bfd6f-9cc4-4c73-a296-905c677c4707","ExcelDataReader.DataSet","3.6.0.0",3,3,23,27,"Present"
"ExcelDataReader.dll",161280,"FE5129647F6E46CDF51C59DD5198527EBA24512439DCBAB8C32D8BD1A8809F19","9e8fcc4e-4d72-447d-ada5-85d2b67e19d2","ExcelDataReader","3.6.0.0",164,15,1224,97,"Present"
"FizzySteamworks.dll",36864,"D452CE086DB8CBDD6C07FD2A6F86D915E1F3EA60E1D6E30E0FF16AE7A0D1C53C","2d4b2e93-3924-4632-9144-fcb01b054c1c","FizzySteamworks","0.0.0.0",24,10,188,94,"Present"
"GECore.dll",7680,"79F47B68C0C10242AE582ADBCF62636162C34A3128707B61CB949A13A8D9B70E","a9cee9b4-61eb-4226-a931-f6efc9754a32","GECore","0.0.0.0",7,1,15,2,"Present"
"Google.Apis.Auth.dll",244224,"C38ECBDD91F2C308D239F2E368B9D2CDA6E288C8062114EAEE287918F02917B6","2dde233a-1e9d-4fbc-ad90-484b6586b482","Google.Apis.Auth","1.73.0.0",260,82,1464,875,"Present"
"Google.Apis.Core.dll",86016,"56797E95728AC95026E7ACF38A3AF29AB60DA159FF45131E321BB1C14CD87A55","27f04576-3716-4f0d-8671-47f195528f92","Google.Apis.Core","1.73.0.0",106,65,522,454,"Present"
