fileName,size,sha256,mvid,assemblyName,assemblyVersion,typeCount,publicTypeCount,methodCount,publicMemberCount,status
"AllIn1SpriteShaderAssembly.dll",31232,"B1975C28EC11C1E5FE9FC55119F1EA51D058EDFDCD9883F8CE924C336E80308B","3f1d8f19-cfe5-49d1-a426-5ee80a5cd0c1","AllIn1SpriteShaderAssembly","0.0.0.0",29,18,128,57,"Present"
"AllScripts.dll",1020928,"48B5F5F7D8DC2487FA68885202BB46BFF3D265E362CD89E817C036B8E93D5420","c1fa8e01-8e09-40e4-9646-b02c4452e3eb","AllScripts","0.0.0.0",3788,3286,4603,3286,"Present"
"Assembly-CSharp.dll",10240,"3723D9E6C4C55CA9624A30769C7327BFD9706C771BDE439B1341746CE2437C13","c82e2fe6-90be-4e46-9730-628a69d06c81","Assembly-CSharp","0.0.0.0",12,7,23,14,"Present"
"Autodesk.Fbx.BuildTestAssets.dll",5120,"115F83C149B7465CC449F33A0597EC8F59AD4972F12B0983A7B47DB5C771832E","3b7bb6a3-f999-4670-aa44-d8d55850e8e6","Autodesk.Fbx.BuildTestAssets","0.0.0.0",6,0,4,0,"Present"
"Autodesk.Fbx.dll",4096,"0D802318A667976FC39150D3B1B1F7E8C186B774273D6D5609D8CE21D470B7C5","2658864d-f654-43a2-98a1-55566630a2aa","Autodesk.Fbx","0.0.0.0",2,0,2,0,"Present"
"BindingProxy.dll",4096,"F7E16E20D6F47EF5A3B28C073F76A1ADCBCC38D9F9659F93CF7C608030B33596","84beaa32-6361-4856-807b-cb386405de53","BindingProxy","1.0.0.0",4,4,4,4,"Present"
"Cinemachine.dll",315904,"5C1347B404C795D422B956F09897DC9E4EC74B9E545053FCC7E1765CE785BB9A","3994f530-343b-43c0-a741-6705ccd87137","Cinemachine","0.0.0.0",248,158,1423,1459,"Present"
"Coffee.UIParticle.dll",54784,"C5336147A73518B1E53DF4F97BE326E44B9702D589C0CAF425ACC1820F062716","5d481b9e-b2ea-45ba-bb29-116779561d3a","Coffee.UIParticle","0.0.0.0",45,12,284,126,"Present"
"Coffee.UIParticle.R.dll",3584,"A1C8AB664489C1EC8388FDED9F26DA48AB362CA50CC3D50A611D112ABE747BD3","28fba8bf-906c-4058-89ef-22bfbfe5b886","Coffee.UIParticle.R","0.0.0.0",1,0,0,0,"Present"
"com.rlabrecque.steamworks.net.dll",413696,"83A203F3D5890E33F90C0F58FCC71187D8456A02FF44F587FD7A41BD2CD33430","01645d5e-a798-49ca-ad05-6ddef26c0152","com.rlabrecque.steamworks.net","0.0.0.0",506,483,3080,4737,"Present"
