fileName,size,sha256,mvid,assemblyName,assemblyVersion,typeCount,publicTypeCount,methodCount,publicMemberCount,status
"AllIn1SpriteShaderAssembly.dll",31232,"2EA4A85EDA05F11EB0A00FFF71BA4A3617160E5E89A26F2D47E84B18731E41B6","6c02d931-8221-47c6-b232-a6f53d61f5af","AllIn1SpriteShaderAssembly","0.0.0.0",29,18,128,57,"Present"
"AllScripts.dll",990720,"93806F183518BD829907A840DC7C881588DC1EDCC9EBD9ECE83B63F145007A55","e88d0a9f-abb6-4e0e-be37-5c4df3bf939f","AllScripts","0.0.0.0",3675,3189,4465,3189,"Present"
"Assembly-CSharp.dll",10240,"1F9858612E3C38C5590A0E57A904AEEB980D78C25B9A19534365EC09A0EF9BF2","d4276103-424c-45bc-93ac-303a0d44fad0","Assembly-CSharp","0.0.0.0",12,7,23,14,"Present"
"Autodesk.Fbx.BuildTestAssets.dll",5120,"115F83C149B7465CC449F33A0597EC8F59AD4972F12B0983A7B47DB5C771832E","3b7bb6a3-f999-4670-aa44-d8d55850e8e6","Autodesk.Fbx.BuildTestAssets","0.0.0.0",6,0,4,0,"Present"
"Autodesk.Fbx.dll",4096,"EB06358BE871BAFF431351C3A525C0CEB5354535897C5CE326EFD07848D7BA2E","30deaa84-4eca-463d-be96-b177eba1803e","Autodesk.Fbx","0.0.0.0",2,0,2,0,"Present"
"BindingProxy.dll",4096,"F7E16E20D6F47EF5A3B28C073F76A1ADCBCC38D9F9659F93CF7C608030B33596","84beaa32-6361-4856-807b-cb386405de53","BindingProxy","1.0.0.0",4,4,4,4,"Present"
"Cinemachine.dll",315904,"3B7FE4F16F2DADF8937126270690A5B72B80F7D15DEC88D5D65452E4BEF64243","a16641c9-4f12-4b7e-a6ed-917f8cc8f544","Cinemachine","0.0.0.0",248,158,1423,1459,"Present"
"Coffee.UIParticle.dll",54784,"0AF564242FAE98EF8EF5313103B61F30E800A3C10976CD0420F506131133B4B9","d8c68548-af3a-4735-81c4-901979b22d5b","Coffee.UIParticle","0.0.0.0",45,12,284,126,"Present"
"Coffee.UIParticle.R.dll",3584,"A1C8AB664489C1EC8388FDED9F26DA48AB362CA50CC3D50A611D112ABE747BD3","28fba8bf-906c-4058-89ef-22bfbfe5b886","Coffee.UIParticle.R","0.0.0.0",1,0,0,0,"Present"
"com.rlabrecque.steamworks.net.dll",413696,"83A203F3D5890E33F90C0F58FCC71187D8456A02FF44F587FD7A41BD2CD33430","01645d5e-a798-49ca-ad05-6ddef26c0152","com.rlabrecque.steamworks.net","0.0.0.0",506,483,3080,4737,"Present"
"CsvHelper.dll",223744,"3C8034529E78317954EE9032F48C53F032C7F26A1371617404F6E27D45A252F0","d82cfa14-6ac9-455f-ba33-d52233350941","CsvHelper","33.0.0.0",289,215,1647,1562,"Present"
"DOTween.dll",175616,"8E90FC43AB564A5A51424AF56531AB074A5A2E9CAB271B2D653D287954237B83","82a2fd07-3ee4-4992-8e16-1903460426d7","DOTween","1.0.0.0",201,89,1188,895,"Present"
"ExcelDataReader.DataSet.dll",9728,"ED43E87D86EE8EA5385F55BCE311CE12427BD25C7DA5DA125404F12F5E51CF97","7c2bfd6f-9cc4-4c73-a296-905c677c4707","ExcelDataReader.DataSet","3.6.0.0",3,3,23,27,"Present"
"ExcelDataReader.dll",161280,"FE5129647F6E46CDF51C59DD5198527EBA24512439DCBAB8C32D8BD1A8809F19","9e8fcc4e-4d72-447d-ada5-85d2b67e19d2","ExcelDataReader","3.6.0.0",164,15,1224,97,"Present"
"FizzySteamworks.dll",36864,"CB1AF2E67268CFC69D31863A3FD3BA045BEDA74BD6116C3A52A2ADBBF7FF5412","213f3dc7-e6b6-4906-9365-1702b2d42237","FizzySteamworks","0.0.0.0",24,10,188,94,"Present"
"GECore.dll",7680,"3BCB7EBD669C142FAFF16C9EF46F0667FFC35230F6225743CB483185F7272CCF","dc25b174-b3e8-47f7-9187-3e5b9cf786b9","GECore","0.0.0.0",7,1,15,2,"Present"
"Google.Apis.Auth.dll",244224,"C38ECBDD91F2C308D239F2E368B9D2CDA6E288C8062114EAEE287918F02917B6","2dde233a-1e9d-4fbc-ad90-484b6586b482","Google.Apis.Auth","1.73.0.0",260,82,1464,875,"Present"
"Google.Apis.Core.dll",86016,"56797E95728AC95026E7ACF38A3AF29AB60DA159FF45131E321BB1C14CD87A55","27f04576-3716-4f0d-8671-47f195528f92","Google.Apis.Core","1.73.0.0",106,65,522,454,"Present"
"Google.Apis.dll",83968,"7043A13CAE68324773A101BA289E8E637134EEA694F120ECF2F033F64BF65581","220bb1da-b1bc-4474-82f3-a866265ce82b","Google.Apis","1.73.0.0",75,30,452,308,"Present"
